id,name,short_name,actor_type,country,city,lat,lon,main_domain,role,related_factories,coordinate_precision,source,notes
ACTOR_HOST_LUMI,CSC – IT Center for Science,CSC – IT Center for Science,hosting_entity_or_consortium,Finland,Kajaani,64.2273,27.7285,ai_hpc_integration,host_or_lead_consortium,LUMI AIF,city_or_site_approx,https://www.eurohpc-ju.europa.eu/ai-factories/finland_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_LUXEMBOURG,LuxProvide / Luxembourg AI Factory consortium,LuxProvide,hosting_entity_or_consortium,Luxembourg,Luxembourg,49.6116,6.1319,ai_hpc_integration,host_or_lead_consortium,LAIF,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/luxembourg_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_IT4LIA,CINECA / IT4LIA consortium,CINECA,hosting_entity_or_consortium,Italy,Bologna,44.4949,11.3426,ai_hpc_integration,host_or_lead_consortium,IT4LIA,city,https://www.eurohpc-ju.europa.eu/ai-factories/italy_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_MIMER,National Academic Infrastructure for Supercomputing in Sweden (NAISS) / RISE,National Academic Infrastructure for Supercomputing in Sweden (NAISS),hosting_entity_or_consortium,Sweden,Stockholm,59.3293,18.0686,ai_hpc_integration,host_or_lead_consortium,Mimer,country_anchor_city,https://www.eurohpc-ju.europa.eu/ai-factories/sweden_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_HAMMERHAI,High-Performance Computing Center Stuttgart (HLRS),High-Performance Computing Center Stuttgart (HLRS),hosting_entity_or_consortium,Germany,Stuttgart,48.7758,9.1829,ai_hpc_integration,host_or_lead_consortium,HammerHAI,city,https://www.eurohpc-ju.europa.eu/ai-factories/germany_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_JAIF,Jülich Supercomputing Centre (JSC),Jülich Supercomputing Centre (JSC),hosting_entity_or_consortium,Germany,Jülich,50.922,6.3625,ai_hpc_integration,host_or_lead_consortium,JAIF,city,https://www.eurohpc-ju.europa.eu/ai-factories/germany_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_BSC,Barcelona Supercomputing Center (BSC),Barcelona Supercomputing Center (BSC),hosting_entity_or_consortium,Spain,Barcelona,41.3874,2.1686,ai_hpc_integration,host_or_lead_consortium,BSC AIF,city,https://www.eurohpc-ju.europa.eu/ai-factories/spain_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_PHAROS,Greek AI Factory / GRNET ecosystem,Greek AI Factory,hosting_entity_or_consortium,Greece,Athens,37.9838,23.7275,ai_hpc_integration,host_or_lead_consortium,Pharos,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/greece_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_FRANCE,GENCI / French AI-HPC ecosystem,GENCI,hosting_entity_or_consortium,France,Paris / Île-de-France,48.8566,2.3522,ai_hpc_integration,host_or_lead_consortium,AIF France,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/france_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_SLAIF,Slovenian AI-HPC consortium,Slovenian AI-HPC consortium,hosting_entity_or_consortium,Slovenia,Maribor,46.5547,15.6459,ai_hpc_integration,host_or_lead_consortium,SLAIF,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/slovenia_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_BRAINPP,Bulgarian government / Sofia Tech ecosystem,Bulgarian government,hosting_entity_or_consortium,Bulgaria,Sofia,42.6977,23.3219,ai_hpc_integration,host_or_lead_consortium,BRAIN++,city,https://www.eurohpc-ju.europa.eu/ai-factories/bulgaria_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_AI_AT,Advanced Computing Austria GmbH (ACA) / AIT-led consortium,Advanced Computing Austria GmbH (ACA),hosting_entity_or_consortium,Austria,Vienna,48.2082,16.3738,ai_hpc_integration,host_or_lead_consortium,AI:AT,city,https://www.eurohpc-ju.europa.eu/ai-factories/austria_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_PIAST_AI,Poznań Supercomputing and Networking Center (PCSS),Poznań Supercomputing and Networking Center (PCSS),hosting_entity_or_consortium,Poland,Poznań,52.4064,16.9252,ai_hpc_integration,host_or_lead_consortium,PIAST-AI,city,https://www.eurohpc-ju.europa.eu/ai-factories/poland_en,Derived from the host_entity field of ai_factories.
ACTOR_HOST_CZAI,VSB—Technical University of Ostrava / IT4Innovations,VSB—Technical University of Ostrava,hosting_entity_or_consortium,Czechia,Ostrava,49.8209,18.2625,ai_hpc_integration,host_or_lead_consortium,CZAI,city,https://www.eurohpc-ju.europa.eu/czechia_en,Derived from the host_entity field of ai_factories.
