id,name,short_name,country,city,lat,lon,host_entity,linked_ai_factory_ids,linked_ai_factories,system_role,system_class,status,sustained_pf,peak_pf,ai_peak_pf,accelerator_or_gpu,cpu,storage,supplier,applications,source,coordinate_precision,notes
AISYS_LUMI,LUMI,LUMI,Finland,Kajaani,64.2273,27.7285,CSC – IT Center for Science,AIF_LUMI,LUMI AI Factory,base_supercomputer,pre_exascale_eurohpc,operational,386.00,,,AMD Instinct GPUs in LUMI-G,AMD EPYC CPUs in LUMI-C,117 PB total; 2 TB/s max I/O,HPE Cray EX,"AI, deep learning, simulations, data analytics",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city_or_site_approx,LUMI AI Factory builds on the LUMI ecosystem.
AISYS_LEONARDO,Leonardo,Leonardo,Italy,Bologna,44.4949,11.3426,CINECA,AIF_IT4LIA,IT4LIA,base_supercomputer,pre_exascale_eurohpc,operational,249.04,315.74,up to 10 EFLOPS FP16 AI,"13,824 NVIDIA Ampere-based Da Vinci GPUs",Intel Ice Lake; Intel Sapphire Rapids,100+ PB HDD plus 5 PB flash/NVMe,ATOS / BullSequana XH2000,"HPC, AI, data analysis, urgent/cloud computing",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city,Core Italian AI/HPC system at Bologna Tecnopolo.
AISYS_LISA,LISA upgrade to Leonardo,LISA,Italy,Bologna,44.4949,11.3426,CINECA,AIF_IT4LIA,IT4LIA,ai_optimised_upgrade,ai_factory_upgrade,inaugurated_or_deploying,,,,AI-optimised partition inside Leonardo ecosystem,,,Eviden/EuroHPC contract,"LLMs, multimodal generative AI",https://www.eurohpc-ju.europa.eu/inauguration-sol-new-quantum-computer-together-lisa-upgrade-leonardo-supercomputer-2026-06-11_en,city,LISA extends Leonardo AI capacity.
AISYS_MARENOSTRUM5,MareNostrum 5,MN5,Spain,Barcelona,41.3874,2.1686,Barcelona Supercomputing Center,AIF_BSC,BSC AI Factory,base_supercomputer_with_ai_upgrade,pre_exascale_eurohpc,operational_and_upgrading,215.40,314,,NVIDIA Hopper; NVIDIA GB200 in NGT ACC,Intel Sapphire Rapids; NVIDIA Grace,248 PB net + 402 PB tape archive,Bull SAS / Lenovo,"HPC, AI, deep learning, medical apps, digital twins",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city,BSC AI Factory upgrades MareNostrum 5.
AISYS_MELUXINA,MeluXina,MeluXina,Luxembourg,Bissen,49.7878,6.0662,LuxProvide,AIF_LUXEMBOURG,Luxembourg AI Factory,base_supercomputer,petascale_eurohpc,operational,12.81,18.29,500 AI PFLOPS accelerator partition,NVIDIA Ampere A100,AMD EPYC,20 PB main storage; all-flash scratch tier,Atos / BullSequana XH2000,"AI, digital twins, quantum simulation",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city_or_site_approx,Existing Luxembourg EuroHPC system.
AISYS_MELUXINA_AI,MeluXina-AI,MeluXina-AI,Luxembourg,Bissen / Bettembourg,49.7878,6.0662,LuxProvide / Luxembourg AI Factory,AIF_LUXEMBOURG,Luxembourg AI Factory,ai_optimised_supercomputer,ai_factory_system,planned_or_deploying,,,multi-exaflop AI performance,2100+ GPU-AI accelerators,,secure processing environments,,"AI training, fine-tuning, inference",https://www.eurohpc-ju.europa.eu/ai-factories/luxembourg_en,city_or_site_approx,Core AI system of Luxembourg AI Factory.
AISYS_JUPITER,JUPITER,JUPITER,Germany,Jülich,50.922,6.3625,Jülich Supercomputing Centre,AIF_JAIF,JUPITER AI Factory,base_supercomputer,exascale_eurohpc,operational,1000+,,,"~24,000 NVIDIA GH200 Grace Hopper Superchips",NVIDIA Grace Hopper architecture,,Eviden / BullSequana XH3000,"large simulations, advanced AI workloads",https://www.eurohpc-ju.europa.eu/two-new-eurohpc-systems-join-top500-jupiter-remains-among-worlds-fastest-supercomputers-2026-06-23_en,city,Europe's first exascale EuroHPC system.
AISYS_HAMMERHAI,HammerHAI supercomputer,HammerHAI system,Germany,Stuttgart,48.7758,9.1829,HLRS,AIF_HAMMERHAI,HammerHAI,ai_optimised_supercomputer,ai_factory_system,contract_signed_delivery_2026,,,,AI-optimised architecture; details TBC,,,,"AI, ML, engineering, manufacturing, automotive",https://www.eurohpc-ju.europa.eu/eurohpc-ju-signs-contract-deploy-ai-supercomputer-hammerhai-2026-03-16_en,city,Standalone AI-optimised system under AI Factories initiative.
AISYS_ARRHENIUS,Arrhenius,Arrhenius,Sweden,Linköping,58.4108,15.6214,Linköping University / NAISS,AIF_MIMER,Mimer AI Factory,base_supercomputer,eurohpc_system_ai_ready,installing_or_deploying,60,,,"1,528 NVIDIA Grace Hopper Superchips",424 AMD Turin 128-core CPUs,29 PB parallel file system,HPE Cray EX,"AI training, medicine, materials, climate",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city_or_campus_approx,Associated here with Mimer AI Factory.
AISYS_DAEDALUS,DAEDALUS,DAEDALUS,Greece,Lavrio / Attica,37.7145,24.0563,GRNET,AIF_PHAROS,Pharos AI Factory,base_supercomputer,mid_range_petascale_eurohpc,deploying_or_planned,89,115,,NVIDIA H100 via GH200 superchips,GH200 ARM cores,1 PB NVMe + 10 PB usable storage,HPE NVIDIA GH200 architecture,"HPC, AI, Big Data/HPDA",https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,city_or_region_approx,EuroHPC locates DAEDALUS in Attica/Lavrio.
