id,name,short_name,country,city,lat,lon,factory_type,selection_batch,host_entity,supercomputer_or_system,compute_note,key_sectors,partner_countries,antennas,services_available_from,status,coordinate_precision,source,notes
AIF_LUMI,LUMI AI Factory,LUMI AIF,Finland,Kajaani,64.2273,27.7285,ai_factory,first_seven_2024,CSC – IT Center for Science,LUMI,"Massive GPU, AI inference, multi-tenant environment and fast storage",Manufacturing industries; Health and life sciences; Communication technologies and networks; Climate and weather; Materials technology; Language,Czechia; Denmark; Estonia; Norway; Poland,Iceland; Latvia; Switzerland,,active_or_implementing,city_or_site_approx,https://www.eurohpc-ju.europa.eu/ai-factories/finland_en,EuroHPC page says LUMI AIF is hosted in Finland at CSC – IT Center for Science.
AIF_LUXEMBOURG,Luxembourg AI Factory,LAIF,Luxembourg,Luxembourg,49.6116,6.1319,ai_factory,first_seven_2024,LuxProvide / Luxembourg AI Factory consortium,MeluXina-AI,MeluXina-AI supercomputer; EuroHPC page reports 2100+ GPU-AI accelerators,Finance; Green Economy; Space; Cybersecurity,,Ireland,NA,active_or_implementing,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/luxembourg_en,Mapped to Luxembourg city as a national hub anchor.
AIF_IT4LIA,Italian AI Factory,IT4LIA,Italy,Bologna,44.4949,11.3426,ai_factory,first_seven_2024,CINECA / IT4LIA consortium,Leonardo ecosystem / AI-optimised capacity,"Italian AI Factory for AI infrastructure, datasets, testing and validation services",Agri-food; Earth Sciences; Cybersecurity; Manufacturing,,Switzerland; Serbia,To be confirmed soon,active_or_implementing,city,https://www.eurohpc-ju.europa.eu/ai-factories/italy_en,Mapped to Bologna/CINECA area.
AIF_MIMER,Mimer AI Factory,Mimer,Sweden,Stockholm,59.3293,18.0686,ai_factory,first_seven_2024,National Academic Infrastructure for Supercomputing in Sweden (NAISS) / RISE,Mimer AI-optimised supercomputer,New AI-optimised supercomputing infrastructure and AI support services,Life sciences; Materials science; Autonomous systems; Gaming industry,,Switzerland,NA,active_or_implementing,country_anchor_city,https://www.eurohpc-ju.europa.eu/ai-factories/sweden_en,EuroHPC page names NAISS/RISE but does not expose a single precise site in parsed text; mapped to Stockholm as a country anchor.
AIF_HAMMERHAI,HammerHAI,HammerHAI,Germany,Stuttgart,48.7758,9.1829,ai_factory,first_seven_2024,High-Performance Computing Center Stuttgart (HLRS),HammerHAI supercomputer,AI-optimised supercomputer for training and inference; cloud-native software stack,Engineering; Manufacturing; Mobility; Automotive technologies; Academia,,United Kingdom,April 2025,active_or_implementing,city,https://www.eurohpc-ju.europa.eu/ai-factories/germany_en,Germany has two AI Factories on the EuroHPC page: HammerHAI in Stuttgart and JAIF in Jülich.
AIF_JAIF,JUPITER AI Factory,JAIF,Germany,Jülich,50.922,6.3625,ai_factory,first_seven_2024,Jülich Supercomputing Centre (JSC),JUPITER / JUPITER AI ecosystem,JUPITER-associated AI Factory in Jülich,AI research; Science; Industry; Foundation model workflows,,Belgium; Hungary,,active_or_implementing,city,https://www.eurohpc-ju.europa.eu/ai-factories/germany_en,JAIF is listed by EuroHPC as based in Jülich.
AIF_BSC,BSC AI Factory,BSC AIF,Spain,Barcelona,41.3874,2.1686,ai_factory,first_seven_2024,Barcelona Supercomputing Center (BSC),MareNostrum 5 upgrade / AI-enabled computing infrastructure,AI-optimised HPC access and services linked to BSC infrastructure,Health; Climate and Agriculture; Finance; Legal; Energy; Communications and Media; Public Sector,Portugal; Romania; Türkiye,,NA,active_or_implementing,city,https://www.eurohpc-ju.europa.eu/ai-factories/spain_en,BSC AI Factory is the first Spanish AI Factory listed on EuroHPC.
AIF_PHAROS,Pharos AI Factory,Pharos,Greece,Athens,37.9838,23.7275,ai_factory,first_seven_2024,Greek AI Factory / GRNET ecosystem,DAEDALUS,Access to HPC resources leveraging the DAEDALUS supercomputer under deployment,Health; Culture and Language; Sustainability,,Cyprus; Malta; North Macedonia; Serbia,NA,active_or_implementing,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/greece_en,Mapped to Athens as country/national hub anchor.
AIF_FRANCE,AI Factory France,AIF France,France,Paris / Île-de-France,48.8566,2.3522,ai_factory,second_six_2025,GENCI / French AI-HPC ecosystem,Jean Zay; Adastra; Joliot-Curie; Alice Recoque,Continuum from public French and EU HPC to inference at scale,Energy; Aerospace; Health; Defense and security; Earth Sciences; Digital continuum; Material Sciences; Robotics; Agriculture; Finance and legal; Education; Mobility; Humanities,,Ireland,Second half of 2025,active_or_implementing,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/france_en,The page mentions multiple French supercomputing systems; mapped to Paris/Île-de-France as a national hub anchor.
AIF_SLAIF,Slovenian AI Factory,SLAIF,Slovenia,Maribor,46.5547,15.6459,ai_factory,second_six_2025,Slovenian AI-HPC consortium,New EuroHPC AI-optimised supercomputer hosted in Slovenia,Comprehensive AI ecosystem and AI-optimised supercomputer,Green Transition; Health and Biotechnology; Digital Society; Science,,,NA,active_or_implementing,city_anchor,https://www.eurohpc-ju.europa.eu/ai-factories/slovenia_en,Mapped to Maribor because Slovenia's EuroHPC VEGA ecosystem is associated with Maribor/IZUM; verify precise AI Factory site.
AIF_BRAINPP,Bulgarian Robotics & AI Nexus,BRAIN++,Bulgaria,Sofia,42.6977,23.3219,ai_factory,second_six_2025,Bulgarian government / Sofia Tech ecosystem,Discoverer++,"HPC access to Discoverer++ for training, fine-tuning and inference",LLMs for Bulgarian Language; Space Observation; Robotics; Consumer Goods; Agriculture and Food Production; Healthcare,,,NA,active_or_implementing,city,https://www.eurohpc-ju.europa.eu/ai-factories/bulgaria_en,Mapped to Sofia; EuroHPC page provides contact at sofiatech.bg.
AIF_AI_AT,AI Factory Austria,AI:AT,Austria,Vienna,48.2082,16.3738,ai_factory,second_six_2025,Advanced Computing Austria GmbH (ACA) / AIT-led consortium,AI-optimised supercomputer infrastructure,State-of-the-art AI-optimised supercomputer infrastructure and physical AI hub,Biotech; Manufacturing; Public Administration; Physics; Health; Fintech; Lawtech; Sustainability,,Slovakia,NA,active_or_implementing,city,https://www.eurohpc-ju.europa.eu/ai-factories/austria_en,Consortium led by ACA and AIT with Austrian academic partners.
AIF_PIAST_AI,PIAST-AI Factory,PIAST-AI,Poland,Poznań,52.4064,16.9252,ai_factory,second_six_2025,Poznań Supercomputing and Networking Center (PCSS),AI/HPC extensions at PCSS and partner facilities,"HPC, cloud-based AI services, high-end GPUs and AI-quantum simulations",IT & Cybersecurity; Quantum-enhanced AI; Health & Life Sciences; Public Sector; Space & Robotics; Sustainability,,,2026,active_or_implementing,city,https://www.eurohpc-ju.europa.eu/ai-factories/poland_en,PIAST-AI is supported by PCSS in Poznań.
AIF_CZAI,Czech AI Factory,CZAI,Czechia,Ostrava,49.8209,18.2625,ai_factory,third_six_2025,VSB—Technical University of Ostrava / IT4Innovations,KarolAIna,"New AI-optimised supercomputer building on Karolina, hosted and operated by IT4Innovations",AI adoption; Practical applications; Technological infrastructure; Skills development,,,,selected_or_planned,city,https://www.eurohpc-ju.europa.eu/czechia_en,EuroHPC page states CZAI will be linked to KarolAIna and hosted/operated by IT4Innovations.
AIF_LITAI,LitAI Factory,LitAI,Lithuania,Vilnius,54.6872,25.2797,ai_factory,third_six_2025,Vilnius University / LRTC VDC3 data center,Sovereign AI-optimised infrastructure at LRTC VDC3,"HPC for AI workloads, data storage, accelerator access and innovation support",Cybersecurity; Green energy; Smart industry; Digital health,,,,selected_or_planned,city,https://www.eurohpc-ju.europa.eu/lithuania_en,EuroHPC page says LitAI will be led by Vilnius University and hosted at LRTC VDC3 in Vilnius.
AIF_NLAIF,Dutch AI Factory,NLAIF,Netherlands,Amsterdam,52.3676,4.9041,ai_factory,third_six_2025,AIFNL Foundation / SURF / national consortium,New AI-optimised supercomputer,"Secure, scalable, EU-regulations compliant infrastructure, storage and high-speed connectivity",Healthcare; Mobility; Finance; Agriculture; Sensitive data AI,,,,selected_or_planned,country_anchor_city,https://www.eurohpc-ju.europa.eu/netherlands_en,EuroHPC page names AIFNL Foundation and SURF but parsed text does not expose a single physical city; mapped to Amsterdam as anchor.
AIF_1HEALTHAI,Spanish 1HealthAI Factory,1HealthAI,Spain,Santiago de Compostela,42.8782,-8.5448,ai_factory,third_six_2025,Galicia Supercomputing Center (CESGA) / CSIC,1HealthAI experimental platform / data centre in A Sionlla industrial park,"Trustworthy AI for human, animal and environmental health; experimental platform for testing AI models",One Health; Human health; Animal health; Environmental health; Genomics; Personalised medicine; Agri-food; Blue biotechnology; Pharmaceutical innovation,,,,selected_or_planned,city_or_industrial_park_approx,https://www.eurohpc-ju.europa.eu/spain-1health-ai_en,EuroHPC page says it will be located in a data centre in A Sionlla industrial park.
AIF_GAIA,Gaia AI Factory,Gaia,Poland,Kraków,50.0647,19.945,ai_factory,third_six_2025,ACK Cyfronet AGH / PLGrid ecosystem,Gaia AI computing platforms,"EuroHPC page reports about 1,000 GPUs split into AI training and inference partitions",Large Learning Models; Healthcare; Space,,,To be confirmed soon,selected_or_planned,city,https://www.eurohpc-ju.europa.eu/poland-gaia-ai-factory_en,Mapped to Kraków/Cyfronet based on official contact domain cyfronet.pl and PLGrid ecosystem.
AIF_ROAI,RO AI Factory,RO AI,Romania,Bucharest,44.4268,26.1025,ai_factory,third_six_2025,ICI Bucharest / University Politehnica of Bucharest,AI-optimised supercomputer to be acquired and deployed,"HPC access, AI model development and training, data space hosting, algorithm libraries and trustworthy AI tools",SMEs; Public sector; Health; Responsible AI; AI model development,,,,selected_or_planned,city,https://www.eurohpc-ju.europa.eu/romania_en,EuroHPC page says RO AI Factory will be hosted and co-coordinated in Bucharest by ICI Bucharest with UPB.
