id,from_id,from_name,from_type,to_id,to_name,to_type,relation_type,relation_label,source,notes
REL_AIF_LUMI_AISYS_LUMI,AIF_LUMI,LUMI AI Factory,ai_factory,AISYS_LUMI,LUMI,ai_supercomputer,uses_compute_system,LUMI AIF uses/relies on LUMI,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_IT4LIA_AISYS_LEONARDO,AIF_IT4LIA,Italian AI Factory,ai_factory,AISYS_LEONARDO,Leonardo,ai_supercomputer,uses_compute_system,IT4LIA uses/relies on Leonardo,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_IT4LIA_AISYS_LISA,AIF_IT4LIA,Italian AI Factory,ai_factory,AISYS_LISA,LISA upgrade to Leonardo,ai_supercomputer,uses_compute_system,IT4LIA uses/relies on LISA,https://www.eurohpc-ju.europa.eu/inauguration-sol-new-quantum-computer-together-lisa-upgrade-leonardo-supercomputer-2026-06-11_en,AI Factory → compute system mapping.
REL_AIF_BSC_AISYS_MARENOSTRUM5,AIF_BSC,BSC AI Factory,ai_factory,AISYS_MARENOSTRUM5,MareNostrum 5,ai_supercomputer,uses_compute_system,BSC AIF uses/relies on MN5,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_LUXEMBOURG_AISYS_MELUXINA,AIF_LUXEMBOURG,Luxembourg AI Factory,ai_factory,AISYS_MELUXINA,MeluXina,ai_supercomputer,uses_compute_system,LAIF uses/relies on MeluXina,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_LUXEMBOURG_AISYS_MELUXINA_AI,AIF_LUXEMBOURG,Luxembourg AI Factory,ai_factory,AISYS_MELUXINA_AI,MeluXina-AI,ai_supercomputer,uses_compute_system,LAIF uses/relies on MeluXina-AI,https://www.eurohpc-ju.europa.eu/ai-factories/luxembourg_en,AI Factory → compute system mapping.
REL_AIF_JAIF_AISYS_JUPITER,AIF_JAIF,JUPITER AI Factory,ai_factory,AISYS_JUPITER,JUPITER,ai_supercomputer,uses_compute_system,JAIF uses/relies on JUPITER,https://www.eurohpc-ju.europa.eu/two-new-eurohpc-systems-join-top500-jupiter-remains-among-worlds-fastest-supercomputers-2026-06-23_en,AI Factory → compute system mapping.
REL_AIF_HAMMERHAI_AISYS_HAMMERHAI,AIF_HAMMERHAI,HammerHAI,ai_factory,AISYS_HAMMERHAI,HammerHAI supercomputer,ai_supercomputer,uses_compute_system,HammerHAI uses/relies on HammerHAI system,https://www.eurohpc-ju.europa.eu/eurohpc-ju-signs-contract-deploy-ai-supercomputer-hammerhai-2026-03-16_en,AI Factory → compute system mapping.
REL_AIF_MIMER_AISYS_ARRHENIUS,AIF_MIMER,Mimer AI Factory,ai_factory,AISYS_ARRHENIUS,Arrhenius,ai_supercomputer,uses_compute_system,Mimer uses/relies on Arrhenius,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_PHAROS_AISYS_DAEDALUS,AIF_PHAROS,Pharos AI Factory,ai_factory,AISYS_DAEDALUS,DAEDALUS,ai_supercomputer,uses_compute_system,Pharos uses/relies on DAEDALUS,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_BRAINPP_AISYS_DISCOVERER,AIF_BRAINPP,Bulgarian Robotics & AI Nexus,ai_factory,AISYS_DISCOVERER,Discoverer,ai_supercomputer,uses_compute_system,BRAIN++ uses/relies on Discoverer,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
REL_AIF_SLAIF_AISYS_VEGA,AIF_SLAIF,Slovenian AI Factory,ai_factory,AISYS_VEGA,Vega,ai_supercomputer,uses_compute_system,SLAIF uses/relies on Vega,https://www.eurohpc-ju.europa.eu/supercomputers/our-supercomputers_en,AI Factory → compute system mapping.
