id,from_id,from_name,from_type,to_id,to_name,to_type,relation_type,relation_label,source,notes
REL_HOST_LUMI,ACTOR_HOST_LUMI,CSC – IT Center for Science,hosting_entity_or_consortium,AIF_LUMI,LUMI AI Factory,ai_factory,hosts_or_leads,CSC – IT Center for Science hosts/leads LUMI AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/finland_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_LUMI,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_LUMI,LUMI AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds LUMI AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_LUXEMBOURG,ACTOR_HOST_LUXEMBOURG,LuxProvide / Luxembourg AI Factory consortium,hosting_entity_or_consortium,AIF_LUXEMBOURG,Luxembourg AI Factory,ai_factory,hosts_or_leads,LuxProvide / Luxembourg AI Factory consortium hosts/leads Luxembourg AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/luxembourg_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_LUXEMBOURG,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_LUXEMBOURG,Luxembourg AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Luxembourg AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_IT4LIA,ACTOR_HOST_IT4LIA,CINECA / IT4LIA consortium,hosting_entity_or_consortium,AIF_IT4LIA,Italian AI Factory,ai_factory,hosts_or_leads,CINECA / IT4LIA consortium hosts/leads Italian AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/italy_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_IT4LIA,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_IT4LIA,Italian AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Italian AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_MIMER,ACTOR_HOST_MIMER,National Academic Infrastructure for Supercomputing in Sweden (NAISS) / RISE,hosting_entity_or_consortium,AIF_MIMER,Mimer AI Factory,ai_factory,hosts_or_leads,National Academic Infrastructure for Supercomputing in Sweden (NAISS) / RISE hosts/leads Mimer AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/sweden_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_MIMER,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_MIMER,Mimer AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Mimer AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_HAMMERHAI,ACTOR_HOST_HAMMERHAI,High-Performance Computing Center Stuttgart (HLRS),hosting_entity_or_consortium,AIF_HAMMERHAI,HammerHAI,ai_factory,hosts_or_leads,High-Performance Computing Center Stuttgart (HLRS) hosts/leads HammerHAI,https://www.eurohpc-ju.europa.eu/ai-factories/germany_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_HAMMERHAI,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_HAMMERHAI,HammerHAI,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds HammerHAI,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_JAIF,ACTOR_HOST_JAIF,Jülich Supercomputing Centre (JSC),hosting_entity_or_consortium,AIF_JAIF,JUPITER AI Factory,ai_factory,hosts_or_leads,Jülich Supercomputing Centre (JSC) hosts/leads JUPITER AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/germany_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_JAIF,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_JAIF,JUPITER AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds JUPITER AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_BSC,ACTOR_HOST_BSC,Barcelona Supercomputing Center (BSC),hosting_entity_or_consortium,AIF_BSC,BSC AI Factory,ai_factory,hosts_or_leads,Barcelona Supercomputing Center (BSC) hosts/leads BSC AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/spain_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_BSC,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_BSC,BSC AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds BSC AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_PHAROS,ACTOR_HOST_PHAROS,Greek AI Factory / GRNET ecosystem,hosting_entity_or_consortium,AIF_PHAROS,Pharos AI Factory,ai_factory,hosts_or_leads,Greek AI Factory / GRNET ecosystem hosts/leads Pharos AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/greece_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_PHAROS,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_PHAROS,Pharos AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Pharos AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_FRANCE,ACTOR_HOST_FRANCE,GENCI / French AI-HPC ecosystem,hosting_entity_or_consortium,AIF_FRANCE,AI Factory France,ai_factory,hosts_or_leads,GENCI / French AI-HPC ecosystem hosts/leads AI Factory France,https://www.eurohpc-ju.europa.eu/ai-factories/france_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_FRANCE,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_FRANCE,AI Factory France,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds AI Factory France,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_SLAIF,ACTOR_HOST_SLAIF,Slovenian AI-HPC consortium,hosting_entity_or_consortium,AIF_SLAIF,Slovenian AI Factory,ai_factory,hosts_or_leads,Slovenian AI-HPC consortium hosts/leads Slovenian AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/slovenia_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_SLAIF,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_SLAIF,Slovenian AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Slovenian AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_BRAINPP,ACTOR_HOST_BRAINPP,Bulgarian government / Sofia Tech ecosystem,hosting_entity_or_consortium,AIF_BRAINPP,Bulgarian Robotics & AI Nexus,ai_factory,hosts_or_leads,Bulgarian government / Sofia Tech ecosystem hosts/leads Bulgarian Robotics & AI Nexus,https://www.eurohpc-ju.europa.eu/ai-factories/bulgaria_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_BRAINPP,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_BRAINPP,Bulgarian Robotics & AI Nexus,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Bulgarian Robotics & AI Nexus,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_AI_AT,ACTOR_HOST_AI_AT,Advanced Computing Austria GmbH (ACA) / AIT-led consortium,hosting_entity_or_consortium,AIF_AI_AT,AI Factory Austria,ai_factory,hosts_or_leads,Advanced Computing Austria GmbH (ACA) / AIT-led consortium hosts/leads AI Factory Austria,https://www.eurohpc-ju.europa.eu/ai-factories/austria_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_AI_AT,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_AI_AT,AI Factory Austria,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds AI Factory Austria,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_PIAST_AI,ACTOR_HOST_PIAST_AI,Poznań Supercomputing and Networking Center (PCSS),hosting_entity_or_consortium,AIF_PIAST_AI,PIAST-AI Factory,ai_factory,hosts_or_leads,Poznań Supercomputing and Networking Center (PCSS) hosts/leads PIAST-AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories/poland_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_PIAST_AI,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_PIAST_AI,PIAST-AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds PIAST-AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
REL_HOST_CZAI,ACTOR_HOST_CZAI,VSB—Technical University of Ostrava / IT4Innovations,hosting_entity_or_consortium,AIF_CZAI,Czech AI Factory,ai_factory,hosts_or_leads,VSB—Technical University of Ostrava / IT4Innovations hosts/leads Czech AI Factory,https://www.eurohpc-ju.europa.eu/czechia_en,Host/lead relation derived from EuroHPC AI Factory pages.
REL_EUROHPC_CZAI,ACTOR_EUROHPC_JU,EuroHPC JU,european_public_institution,AIF_CZAI,Czech AI Factory,ai_factory,coordinates_or_funds,EuroHPC JU coordinates/funds Czech AI Factory,https://www.eurohpc-ju.europa.eu/ai-factories_en,Programme-level relation.
